Date,WY
1992-11-01,4.7650346755981445
1992-12-01,4.505399227142334
1993-01-01,5.110047340393066
1993-02-01,5.125436305999756
1993-03-01,5.079261302947998
1993-04-01,5.501455783843994
1993-05-01,5.609938144683838
1993-06-01,5.284498691558838
1993-07-01,4.871738910675049
1993-08-01,5.0747246742248535
1993-09-01,5.090341091156006
1993-10-01,4.987568378448486
1993-11-01,5.506779193878174
1993-12-01,5.616915702819824
1994-01-01,6.189952850341797
1994-02-01,6.015810489654541
1994-03-01,5.47755241394043
1994-04-01,5.398397445678711
1994-05-01,5.309114933013916
1994-06-01,5.101851940155029
1994-07-01,5.3960700035095215
1994-08-01,5.861806392669678
1994-09-01,5.7333269119262695
1994-10-01,5.096452713012695
1994-11-01,4.967020034790039
1994-12-01,4.85376501083374
1995-01-01,4.939821720123291
1995-02-01,5.314787864685059
1995-03-01,5.070243835449219
1995-04-01,5.477818489074707
1995-05-01,5.777388572692871
1995-06-01,6.205345630645752
1995-07-01,6.208662509918213
1995-08-01,6.109059810638428
1995-09-01,6.059259414672852
1995-10-01,5.9115891456604
1995-11-01,6.062313556671143
1995-12-01,5.79436731338501
1996-01-01,6.234347343444824
1996-02-01,5.727490425109863
1996-03-01,6.234347343444824
1996-04-01,6.6905198097229
1996-05-01,6.1829400062561035
1996-06-01,5.7911834716796875
1996-07-01,5.726002216339111
1996-08-01,6.138686180114746
1996-09-01,6.345028877258301
1996-10-01,6.365398406982422
1996-11-01,6.382740497589111
1996-12-01,6.573531150817871
1997-01-01,6.368592262268066
1997-02-01,6.473569393157959
1997-03-01,6.246119976043701
1997-04-01,6.460695266723633
1997-05-01,7.043216228485107
1997-06-01,7.34330415725708
1997-07-01,8.847980499267578
1997-08-01,8.208366394042969
1997-09-01,8.457112312316895
1997-10-01,6.843150615692139
1997-11-01,7.568673610687256
1997-12-01,7.031251907348633
1998-01-01,7.198183536529541
1998-02-01,7.216245651245117
1998-03-01,8.16456127166748
1998-04-01,8.385781288146973
1998-05-01,7.394404411315918
1998-06-01,6.721360206604004
1998-07-01,6.168376922607422
1998-08-01,5.516659259796143
1998-09-01,6.195914268493652
1998-10-01,6.9388861656188965
1998-11-01,7.42988920211792
1998-12-01,7.531795501708984
1999-01-01,8.082322120666504
1999-02-01,8.324975967407227
1999-03-01,8.28764533996582
